package,file_path,line_number,type,severity,description
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,2249,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbCatalogSupplier.java,99,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbCatalogSupplier.java,109,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbSchemaSupplier.java,96,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbSchemaSupplier.java,113,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanDescriptor.java,152,BUG,LOW,"Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanDescriptor.java,153,BUG,LOW,"Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanListHelp.java,100,BUG,MEDIUM,"The return value of ""size"" must be used."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanMapHelp.java,147,BUG,MEDIUM,"The return value of ""size"" must be used."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanSetHelp.java,105,BUG,MEDIUM,"The return value of ""size"" must be used."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/generatedproperty/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/generatedproperty/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/ImportedIdSimple.java,79,BUG,LOW,"This class overrides ""equals()"" and should therefore also override ""hashCode()""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/DeployBeanProperty.java,1143,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/DeployBeanProperty.java,1151,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/parse/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/parse/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/executor/DaemonExecutorService.java,58,BUG,MEDIUM,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/executor/DaemonScheduleThreadPool.java,53,BUG,MEDIUM,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/DefaultExpressionList.java,759,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/DefaultExpressionList.java,864,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/DefaultExpressionList.java,869,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/DefaultExpressionList.java,1087,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/DefaultExpressionList.java,1092,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/JunctionExpression.java,292,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/JunctionExpression.java,655,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/JunctionExpression.java,660,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/JunctionExpression.java,880,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/JunctionExpression.java,885,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/idgen/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/idgen/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/BatchedSqlException.java,20,BUG,MEDIUM,"Make this method ""synchronized"" to match the parent class implementation."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/DefaultPersister.java,778,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/MergeHandler.java,61,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/InsertMetaOptionsPostgres.java,58,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""true"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/InsertMetaOptionsPostgres.java,76,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""true"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
