package,file_path,file_frequency
hibernate,hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,5
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentReferenceHashMap.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/util/StoreFacadeTypeRegistry.java,4
openjpa,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/meta/Extensions.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FetchGroup.java,4
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,4
hibernate,hibernate-core/src/main/java/org/hibernate/type/CollectionType.java,4
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/ConfiguringConnectionDecorator.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,4
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,4
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java,4
openjpa,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/TestUnwrap.java,4
openjpa,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java,4
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/StringUtil.java,4
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/batch/BatchSelectAndForceIncrementVersionTest.java,4
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractReferenceMap.java,4
openjpa,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java,4
openjpa,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLStore.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ColumnVersionStrategy.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualTypeExpression.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderCacheImpl.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DBCPDriverDataSource.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,4
hibernate,tooling/hibernate-ant/src/main/java/org/hibernate/tool/hbm2ddl/package.html,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java,4
