file_path,line_number,type,severity,description
/ebean-ddl-generator/src/main/java/io/ebeaninternal/dbmigration/DdlGenerator.java,201,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/PersistRequestBean.java,1261,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/PersistRequestBean.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/PersistRequestBean.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/ExeUpdateSql.java,64,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/idgen/UuidV1IdGenerator.java,72,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-ddl-generator/src/main/java/io/ebeaninternal/dbmigration/DdlGenerator.java,193,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanProperty.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryPredicates.java,185,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/expression/IdInExpression.java,80,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-test/src/main/java/io/ebean/test/config/platform/H2Setup.java,17,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/json/DJsonContext.java,251,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/dmlbind/BindableEmbedded.java,51,Quality,Medium,Type: Explicit null dereferenced | Category: Null pointer dereferences
/ebean-core-type/src/main/java/io/ebean/core/type/ScalarTypeBaseDateTime.java,72,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
